device_id,timestamp,temp_c,moisture,tds_ppm,water_dist_cm,water_low,salinity_ohm,salinity_type,water_temp_c,raw_json
esp32_dht22,482008,23.4,26.5,0.0,191.8,True,-1.0,Seawater,20.12,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""482008"", ""readings"": {""temp_c"": 23.4, ""moisture"": 26.5, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.8, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.12}}"
esp32_dht22,495553,23.4,26.5,0.0,191.8,True,-1.0,Seawater,20.12,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""495553"", ""readings"": {""temp_c"": 23.4, ""moisture"": 26.5, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.8, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.12}}"
esp32_dht22,509175,23.4,26.4,0.0,191.8,True,-1.0,Seawater,20.12,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""509175"", ""readings"": {""temp_c"": 23.4, ""moisture"": 26.4, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.8, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.12}}"
esp32_dht22,522644,23.4,26.5,0.0,191.8,True,-1.0,Seawater,20.12,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""522644"", ""readings"": {""temp_c"": 23.4, ""moisture"": 26.5, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.8, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.12}}"
esp32_dht22,536206,23.4,26.3,0.0,191.8,True,-1.0,Seawater,20.06,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""536206"", ""readings"": {""temp_c"": 23.4, ""moisture"": 26.3, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.8, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.06}}"
esp32_dht22,549719,23.4,26.3,0.0,191.9,True,-1.0,Seawater,20.06,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""549719"", ""readings"": {""temp_c"": 23.4, ""moisture"": 26.3, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.9, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.06}}"
esp32_dht22,563239,23.3,26.2,0.0,191.9,True,-1.0,Seawater,20.12,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""563239"", ""readings"": {""temp_c"": 23.3, ""moisture"": 26.2, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.9, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.12}}"
esp32_dht22,576711,23.3,26.2,0.0,191.8,True,-1.0,Seawater,20.12,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""576711"", ""readings"": {""temp_c"": 23.3, ""moisture"": 26.2, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.8, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.12}}"
esp32_dht22,590185,23.4,26.1,0.0,191.8,True,-1.0,Seawater,20.12,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""590185"", ""readings"": {""temp_c"": 23.4, ""moisture"": 26.1, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.8, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.12}}"
esp32_dht22,603890,23.3,26.0,0.0,191.8,True,-1.0,Seawater,20.12,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""603890"", ""readings"": {""temp_c"": 23.3, ""moisture"": 26.0, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.8, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.12}}"
